,wavelength(nm),a(/cm),absorption depth (m),n,k,Reflection
0,250,1840000.0,5.429999999999999e-07,1.694,3.666,0.6726125940000001
1,260,1970000.0,5.079999999999999e-07,1.8,4.072,0.705174
2,270,2180000.0,4.5899999999999997e-07,2.129,4.69,0.732089553
3,280,2360000.0,4.24e-07,3.052,5.258,0.722956411
4,290,2240000.0,4.46e-07,4.426,5.16,0.6842353609999999
5,300,1730000.0,5.78e-07,5.055,4.128,0.623487589
6,310,1440000.0,6.94e-07,5.074,3.559,0.590475835
7,320,1280000.0,7.809999999999999e-07,5.102,3.269,0.574130338
8,330,1170000.0,8.55e-07,5.178999999999999,3.085,0.565677412
9,340,1090000.0,9.170000000000001e-07,5.292999999999999,2.951,0.5617493179999999
10,350,1040000.0,9.62e-07,5.483,2.904,0.565380276
11,360,1020000.0,9.8e-07,6.013999999999999,2.912,0.582911002
12,370,697000.0,1.43e-06,6.8629999999999995,2.051,0.5842708010000001
13,380,293000.0,3.41e-06,6.547999999999999,0.885,0.546502292
14,390,150000.0,6.67e-06,5.976,0.465,0.510973644
15,400,95200.0,1.05e-05,5.587000000000001,0.303,0.48602102799999997
16,410,67400.0,1.4800000000000002e-05,5.305,0.22,0.46685326
17,420,50000.0,2e-05,5.091,0.167,0.451521581
18,430,39200.0,2.55e-05,4.925,0.134,0.439123249
19,440,31100.0,3.2200000000000003e-05,4.793,0.109,0.428907265
20,450,25500.0,3.9200000000000004e-05,4.676,0.091,0.4195857
21,460,21000.0,4.7600000000000005e-05,4.577,0.077,0.41148595
22,470,17200.0,5.8099999999999996e-05,4.4910000000000005,0.064,0.40428139399999996
23,480,14800.0,6.759999999999999e-05,4.416,0.057,0.397879181
24,490,12700.0,7.87e-05,4.348,0.05,0.39196473299999995
25,500,11100.0,9.01e-05,4.293,0.045,0.387105531
26,510,9700.0,0.000103,4.239,0.039,0.38226452200000005
27,520,8800.0,0.00011399999999999999,4.192,0.036,0.37799909200000004
28,530,7850.0,0.000127,4.15,0.033,0.37414201399999997
29,540,7050.0,0.00014199999999999998,4.11,0.03,0.37042852200000004
30,550,6390.0,0.000156,4.077,0.028,0.36733593600000003
31,560,5780.0,0.000173,4.044,0.026,0.364216221
32,570,5320.0,0.000188,4.015,0.024,0.361451749
33,580,4880.0,0.000205,3.986,0.023,0.358667135
34,590,4490.0,0.000223,3.9619999999999997,0.021,0.356344975
35,600,4140.0,0.000242,3.9389999999999996,0.02,0.354106672
36,610,3810.0,0.000262,3.9160000000000004,0.018,0.351853614
37,620,3520.0,0.00028399999999999996,3.895,0.017,0.349785241
38,630,3270.0,0.000306,3.8789999999999996,0.016,0.348201339
39,640,3040.0,0.00032900000000000003,3.861,0.015,0.34641148
40,650,2810.0,0.000356,3.844,0.015,0.34471392799999995
41,660,2580.0,0.000388,3.83,0.014,0.34330931600000003
42,670,2380.0,0.00042,3.815,0.013,0.341798625
43,680,2210.0,0.000452,3.8,0.012,0.340281901
44,690,2050.0,0.000488,3.787,0.011,0.33896242200000004
45,700,1900.0,0.000526,3.7739999999999996,0.011,0.337639002
46,710,1770.0,0.0005650000000000001,3.762,0.011,0.336413285
47,720,1660.0,0.000602,3.7510000000000003,0.01,0.335285625
48,730,1540.0,0.0006490000000000001,3.741,0.009,0.33425759
49,740,1420.0,0.000704,3.7319999999999998,0.008,0.333329999
50,750,1300.0,0.000769,3.7230000000000003,0.008,0.332400673
51,760,1190.0,0.00084,3.714,0.007,0.331468652
52,770,1100.0,0.000909,3.705,0.007,0.33053483
53,780,1010.0,0.00099,3.696,0.006,0.329598359
54,790,928.0,0.00108,3.688,0.006,0.328764393
55,800,850.0,0.00118,3.681,0.005,0.32803286800000003
56,810,775.0,0.0012900000000000001,3.674,0.005,0.32730030600000004
57,820,707.0,0.00141,3.668,0.005,0.326671301
58,830,647.0,0.00155,3.662,0.004,0.326041006
59,840,591.0,0.0016899999999999999,3.656,0.004,0.325409976
60,850,535.0,0.00187,3.65,0.004,0.324777931
61,860,480.0,0.0020800000000000003,3.6439999999999997,0.003,0.32414465
62,870,432.0,0.00231,3.638,0.003,0.32351056899999997
63,880,383.0,0.0026100000000000003,3.6319999999999997,0.003,0.32287546899999997
64,890,343.0,0.00292,3.6260000000000003,0.002,0.32223919
65,900,306.0,0.0032700000000000003,3.62,0.002,0.32160204600000003
66,910,272.0,0.0036799999999999997,3.614,0.002,0.320963878
67,920,240.0,0.00417,3.608,0.002,0.32032468399999997
68,930,210.0,0.00476,3.602,0.002,0.319684464
69,940,183.0,0.0054600000000000004,3.597,0.001,0.319150064
70,950,157.0,0.006370000000000001,3.592,0.001,0.318615045
71,960,134.0,0.00746,3.5869999999999997,0.001,0.31807931100000003
72,970,114.0,0.00877,3.582,0.001,0.317542859
73,980,95.9,0.0104,3.5780000000000003,0.001,0.317113181
74,990,79.2,0.0126,3.574,0.001,0.316683043
75,1000,64.0,0.0156,3.57,0.001,0.316252445
76,1010,51.1,0.0196,3.5660000000000003,-,
77,1020,39.9,0.0251,3.563,-,
78,1030,30.2,0.0331,3.56,-,
79,1040,22.6,0.0442,3.557,-,
80,1050,16.3,0.0613,3.554,-,
81,1060,11.1,0.0901,3.551,-,
82,1070,8.0,0.125,3.548,-,
83,1080,6.2,0.161,3.5460000000000003,-,
84,1090,4.7,0.213,3.5439999999999996,-,
85,1100,3.5,0.28600000000000003,3.5410000000000004,-,
86,1110,2.7,0.37,3.5389999999999997,-,
87,1120,2.0,0.5,3.537,-,
88,1130,1.5,0.667,3.534,-,
89,1140,1.0,1.0,3.532,-,
90,1150,0.68,1.47,3.53,-,
91,1160,0.42,2.38,3.528,-,
92,1170,0.22,4.55,3.5260000000000002,-,
93,1180,0.065,15.4,3.5239999999999996,-,
94,1190,0.036,27.8,3.522,-,
95,1200,0.022,45.5,3.52,-,
96,1210,0.013,76.9,3.528,-,
97,1220,0.0082,122.0,3.516,-,
98,1230,0.0047,213.0,3.515,-,
99,1240,0.0024,417.0,3.513,-,
100,1250,0.001,1000.0,3.511,-,
101,1260,0.00036,2780.0,3.51,-,
102,1270,0.0002,5000.0,3.508,-,
103,1280,0.00011999999999999999,8330.0,3.5069999999999997,-,
104,1290,7.099999999999999e-05,14100.0,3.5060000000000002,-,
105,1300,4.5e-05,22200.0,3.5039999999999996,-,
106,1310,2.7000000000000002e-05,37000.0,3.503,-,
107,1320,1.6e-05,62500.0,3.5010000000000003,-,
108,1330,8e-06,125000.0,3.5,-,
109,1340,3.5e-06,286000.0,3.498,-,
110,1350,1.7e-06,588000.0,3.497,-,
111,1360,1e-06,1000000.0,3.4960000000000004,-,
112,1370,6.7e-07,1490000.0,3.495,-,
113,1380,4.5e-07,2220000.0,3.4930000000000003,-,
114,1390,2.5e-07,4000000.0,3.492,-,
115,1400,2e-07,5000000.0,3.491,-,
116,1410,1.5e-07,6670000.0,3.49,-,
117,1420,8.5e-08,11800000.0,3.489,-,
118,1430,7.7e-08,13000000.0,3.488,-,
119,1440,4.2e-08,23800000.0,3.487,-,
120,1450,3.2e-08,31300000.0,3.486,-,
